file_id,signal_length,duration_seconds,sampling_rate,signal_description,sampling_frequency,respiratory_modulation_type,simulated_respiratory_rate_bpm,simulated_heart_rate_bpm,resp_estimated_respiratory_rate_bpm,resp_respiratory_power,resp_respiratory_frequency_hz,resp_respiratory_modulation_depth,resp_respiratory_envelope_mean,resp_respiratory_envelope_std,resp_respiratory_regularity,resp_expected_respiratory_rate_bpm,resp_respiratory_rate_accuracy,cardiac_mean_heart_rate_bpm,cardiac_heart_rate_std,cardiac_min_heart_rate,cardiac_max_heart_rate,cardiac_num_beats,cardiac_rmssd,cardiac_sdnn,cardiac_pnn50,cardiac_vlf_power,cardiac_lf_power,cardiac_hf_power,cardiac_lf_hf_ratio,cardiac_expected_heart_rate_bpm,cardiac_heart_rate_accuracy,quality_signal_mean,quality_signal_std,quality_signal_min,quality_signal_max,quality_signal_range,quality_signal_skewness,quality_signal_kurtosis,quality_snr_db,quality_signal_stationarity,quality_zero_crossing_rate
rrest-syn001,105000,-0.0019252,500,"Pleth, simulated finger PPG; and II, simulated ECG",500,BW,4.0,80.0,80.00000000000001,4071681.161980037,1.3333333333333335,136.92557081078786,141.41199512611811,136.92557081078786,0.9961154361793719,4.0,-18.000000000000004,80.0,0.0,80.0,80.0,280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,-0.03188422130351482,139.1868587382788,-306.25456421372246,690.0831118606025,996.3376760743249,3.2104614631978636,12.527626992079318,18.157590196357013,0.9990859954521766,0.010657142857142856
rrest-syn002,105000,-0.0019671,500,"Pleth, simulated finger PPG; and II, simulated ECG",500,BW,6.0,80.0,80.00000000000001,4071836.418849865,1.3333333333333335,136.9248013209676,141.4143534786982,136.9248013209676,0.9961143292441844,6.0,-11.333333333333336,80.0,0.0,80.0,80.0,280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,-0.03253641781749502,139.18767820468108,-305.1455768058371,688.6388073189221,993.7843841247592,3.210501035903673,12.527836266121128,18.15762899659684,0.9990573973739747,0.010657142857142856
rrest-syn004,105000,-0.0020509,500,"Pleth, simulated finger PPG; and II, simulated ECG",500,BW,10.0,80.0,80.00000000000001,4072168.490364414,1.3333333333333335,136.92395355569414,141.42312024492182,136.92395355569414,0.996104815280654,10.0,-6.000000000000002,80.0,0.0,80.0,80.0,280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,-0.03490181186433632,139.1917145146404,-303.05008450725995,685.2911561464776,988.3412406537376,3.2104220902557254,12.527402824678996,18.157882813463473,0.9989880677603579,0.010657142857142856
rrest-syn003,105000,-0.002009,500,"Pleth, simulated finger PPG; and II, simulated ECG",500,BW,8.0,80.0,80.00000000000001,4071992.7878979845,1.3333333333333335,136.92405372527162,141.41735716055572,136.92405372527162,0.996112028761768,8.0,-8.000000000000002,80.0,0.0,80.0,80.0,280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,-0.03359911691483542,139.18883623694575,-304.06949533538267,687.048800153947,991.1182954893297,3.2105061964566506,12.527856964952568,18.157699145673647,0.9990175695033117,0.010657142857142856
rrest-syn005,105000,-0.0020928,500,"Pleth, simulated finger PPG; and II, simulated ECG",500,BW,12.0,80.0,80.00000000000001,4072368.7954765763,1.3333333333333335,136.92644019647935,141.43825933599197,136.92644019647935,0.996075629125363,12.0,-4.666666666666668,80.0,0.0,80.0,80.0,280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,-0.03602095285565,139.20062846737486,-302.0848338600092,683.4211311138007,985.5059649738099,3.2100686332559283,12.525533634394863,18.158453042496255,0.998941338185731,0.010657142857142856
rrest-syn006,105000,-0.0021347,500,"Pleth, simulated finger PPG; and II, simulated ECG",500,BW,14.0,80.0,80.00000000000001,4072612.951294929,1.3333333333333335,136.93715100367461,141.48053608783687,136.93715100367461,0.995962337598748,14.0,-3.7142857142857153,80.0,0.0,80.0,80.0,280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,-0.0362333017256346,139.22737536834413,-301.19415064423936,685.3856203333297,986.5797709775691,3.2090846393502788,12.520360248246584,18.160098363083797,0.9988112981537961,0.010657142857142856
rrest-syn007,105000,-0.0021765,500,"Pleth, simulated finger PPG; and II, simulated ECG",500,BW,16.0,80.0,80.00000000000001,4072920.3824712685,1.3333333333333335,136.96593495702837,141.5893328007092,136.96593495702837,0.9955831519395056,16.0,-3.000000000000001,80.0,0.0,80.0,80.0,280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,-0.03449034195454612,139.29681495298126,-300.39332897444285,689.1282859550137,989.5216149294565,3.206705441116578,12.5078525708446,18.16442458452926,0.9987679750412432,0.010657142857142856
rrest-syn008,105000,-0.0022184,500,"Pleth, simulated finger PPG; and II, simulated ECG",500,BW,18.0,80.0,80.00000000000001,4073302.4447970088,1.3333333333333335,137.03392333126305,141.84462823739472,137.03392333126305,0.994491575028469,18.0,-2.444444444444445,80.0,0.0,80.0,80.0,280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,-0.029449315759472804,139.4600190667277,-299.6849328591045,693.8806792410242,993.5656121001286,3.2003856420858106,12.47472111875288,18.1745943151517,0.9986721149966358,0.010676190476190476
rrest-syn010,105000,-0.0023022,500,"Pleth, simulated finger PPG; and II, simulated ECG",500,BW,22.0,80.0,80.00000000000001,4074315.6799721983,1.3333333333333335,137.428635040394,143.44763118268796,137.428635040394,0.9858469795151514,22.0,-1.6363636363636371,80.0,0.0,80.0,80.0,280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,-0.004034160325943256,140.47037517717374,-298.5950952430364,705.3796361568988,1003.9747313999351,3.1691403744723776,12.311319883790716,18.23719262791795,0.9982463761137129,0.01079047619047619
rrest-syn009,105000,-0.0022603,500,"Pleth, simulated finger PPG; and II, simulated ECG",500,BW,20.0,80.0,80.00000000000001,4073769.790020929,1.3333333333333335,137.17864240673083,142.38580897238313,137.17864240673083,0.9917507623160996,20.0,-2.000000000000001,80.0,0.0,80.0,80.0,280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,-0.01965438985389947,139.80647006322306,-299.079671918533,699.4431045207078,998.5227764392408,3.1902565850701086,12.421458286763949,18.196128115663107,0.9983833995563678,0.010657142857142856
