subject_id,activity,window_id,ecg_mean,ecg_std,ecg_median,ecg_min,ecg_max,ecg_skew,ecg_kurt,ecg_q25,ecg_q75,ecg_range,ecg_iqr,ecg_zero_crossing_rate,pleth_1_mean,pleth_1_std,pleth_1_median,pleth_1_min,pleth_1_max,pleth_1_skew,pleth_1_kurt,pleth_1_q25,pleth_1_q75,pleth_1_range,pleth_1_iqr,pleth_1_zero_crossing_rate,pleth_2_mean,pleth_2_std,pleth_2_median,pleth_2_min,pleth_2_max,pleth_2_skew,pleth_2_kurt,pleth_2_q25,pleth_2_q75,pleth_2_range,pleth_2_iqr,pleth_2_zero_crossing_rate,pleth_3_mean,pleth_3_std,pleth_3_median,pleth_3_min,pleth_3_max,pleth_3_skew,pleth_3_kurt,pleth_3_q25,pleth_3_q75,pleth_3_range,pleth_3_iqr,pleth_3_zero_crossing_rate,pleth_4_mean,pleth_4_std,pleth_4_median,pleth_4_min,pleth_4_max,pleth_4_skew,pleth_4_kurt,pleth_4_q25,pleth_4_q75,pleth_4_range,pleth_4_iqr,pleth_4_zero_crossing_rate,pleth_5_mean,pleth_5_std,pleth_5_median,pleth_5_min,pleth_5_max,pleth_5_skew,pleth_5_kurt,pleth_5_q25,pleth_5_q75,pleth_5_range,pleth_5_iqr,pleth_5_zero_crossing_rate,pleth_6_mean,pleth_6_std,pleth_6_median,pleth_6_min,pleth_6_max,pleth_6_skew,pleth_6_kurt,pleth_6_q25,pleth_6_q75,pleth_6_range,pleth_6_iqr,pleth_6_zero_crossing_rate,temp_1_mean,temp_1_std,temp_1_median,temp_1_min,temp_1_max,temp_1_skew,temp_1_kurt,temp_1_q25,temp_1_q75,temp_1_range,temp_1_iqr,temp_1_zero_crossing_rate,temp_2_mean,temp_2_std,temp_2_median,temp_2_min,temp_2_max,temp_2_skew,temp_2_kurt,temp_2_q25,temp_2_q75,temp_2_range,temp_2_iqr,temp_2_zero_crossing_rate,temp_3_mean,temp_3_std,temp_3_median,temp_3_min,temp_3_max,temp_3_skew,temp_3_kurt,temp_3_q25,temp_3_q75,temp_3_range,temp_3_iqr,temp_3_zero_crossing_rate,accel_magnitude_mean,accel_magnitude_std,accel_activity_level,gyro_magnitude_mean,gyro_magnitude_std
s10,run,0,32279.6032,5793.229078293079,31469.0,17106.0,63826.0,2.991471212261032,12.497758032664791,29765.5,33510.5,46720.0,3745.0,0.0446,65699.853,301.5691552232695,65753.5,65047.0,66193.0,-0.23441109802443172,-1.3787965250126715,65432.75,65974.0,1146.0,541.25,0.0018,69299.5072,697.284401844449,69418.0,67994.0,70419.0,-0.2752672988163982,-1.314945002706425,68649.75,69911.0,2425.0,1261.25,0.0016,3267.3962,98.84150117248728,3279.0,3072.0,3440.0,-0.10405740188679827,-1.4654531775948918,3174.0,3358.0,368.0,184.0,0.003,90567.7024,144.60376441841615,90604.0,90281.0,90802.0,-0.2870659219835706,-1.4068761795133686,90439.75,90702.0,521.0,262.25,0.0098,102756.1966,241.804189793478,102797.5,102295.0,103199.0,-0.18645542660948802,-1.2450116490190886,102534.0,102961.0,904.0,427.0,0.006,5643.7968,178.05436861081583,5642.0,5323.0,5912.0,-0.11126518253473416,-1.5108728918982728,5464.0,5830.0,589.0,366.0,0.0044,33.431094,0.09578527093256786,33.44,33.25,33.69,0.15333146499315686,-0.4430021290133608,33.38,33.5,0.4399999999999977,0.11999999999999744,0.0066,35.330756,0.12238392063014562,35.31,35.06,35.63,0.2919147758692926,-0.2554463120891204,35.25,35.44,0.5700000000000003,0.18999999999999773,0.0112,32.781836213999995,0.009571199528307907,32.783028,32.753078,32.815975,0.14812337834545042,0.0582272463009037,32.774044,32.789021,0.06289699999999954,0.014976999999994689,0.1744,9.691462811323587,3.5800348361101317,150.0,1.1298493367563045,0.584317389222941
s10,run,1,32494.6712,5633.191600452807,31920.5,17177.0,64039.0,2.9897762188927643,12.991076551263259,30046.5,33702.0,46862.0,3655.5,0.0516,65340.4158,269.1378500821268,65317.0,64793.0,65985.0,0.20079434494292744,-0.638605507748482,65141.0,65540.0,1192.0,399.0,0.0126,68289.3246,700.0214205527475,68113.0,67202.0,69960.0,0.5830455880882588,-0.7638459232685317,67704.75,68909.25,2758.0,1204.5,0.0034,3272.4346,59.14945692473346,3274.0,3105.0,3414.0,-0.07379200829509037,-0.2852251132967125,3231.0,3311.0,309.0,80.0,0.041,90572.035,131.19682731110268,90606.0,90287.0,90805.0,-0.4858817028025335,-1.0825992047162891,90457.0,90680.0,518.0,223.0,0.0076,102771.5226,310.34710850077363,102653.0,102218.0,103324.0,0.330172658219759,-1.4026751841359866,102511.0,103138.25,1106.0,627.25,0.0046,5639.7036,181.87857848164003,5563.0,5373.0,5952.0,0.3493929761151326,-1.54102526621911,5483.0,5857.0,579.0,374.0,0.0056,33.386247999999995,0.11382299253984698,33.38,33.13,33.63,0.08125311770388673,-0.5204466685140821,33.31,33.5,0.5,0.18999999999999773,0.0078,35.31476,0.12976945103561316,35.31,34.94,35.56,-0.3052594156451851,-0.3906789149172032,35.25,35.44,0.6200000000000045,0.18999999999999773,0.0114,32.784168906999994,0.009740040630872202,32.783028,32.750084,32.824963,0.09122151908978937,0.14417365421859385,32.777039,32.789021,0.0748789999999957,0.011981999999996162,0.167,9.70795398492586,4.239549825460447,70.0,1.1683271446265358,0.6323623896334255
s10,run,2,32887.097,5929.175797623041,32317.0,15896.0,64096.0,2.4372180495649354,10.03044260686627,30060.75,34746.0,48200.0,4685.25,0.0466,65386.3832,190.28453221005557,65387.0,64958.0,65895.0,0.0411503794283937,-0.3645972943266278,65257.0,65522.0,937.0,265.0,0.0148,68436.3418,412.2535214718647,68436.0,67500.0,69552.0,-0.06502118864477152,-0.5550362819828853,68133.0,68728.0,2052.0,595.0,0.0076,3348.819,51.23261846947751,3349.0,3216.0,3478.0,-0.1426373488989101,-0.362121866824328,3318.0,3386.0,262.0,68.0,0.0286,90744.9698,117.74815418308137,90766.0,90475.0,90967.0,-0.2010150666579814,-1.154673276844452,90640.0,90847.0,492.0,207.0,0.0092,102962.9172,174.6534818201526,102948.0,102514.0,103403.0,0.20746939653775423,-0.5018609389235267,102836.75,103079.0,889.0,242.25,0.0148,5819.9532,73.41693141860252,5825.0,5639.0,5992.0,-0.13453627980530414,-0.8633754369671998,5762.0,5881.25,353.0,119.25,0.0132,33.306316,0.09518907676864662,33.31,33.13,33.56,0.4515971784598331,-0.3090496060394785,33.25,33.38,0.4299999999999997,0.13000000000000256,0.0054,35.306422,0.12074226126228918,35.31,35.06,35.63,0.034238811793209346,-0.4688140083671364,35.19,35.38,0.5700000000000003,0.19000000000000483,0.0108,32.7642767798,0.013575533449047264,32.76506,32.720131,32.809986,-0.013069788737046695,-0.3142540322821965,32.756073,32.774044,0.08985500000000002,0.017971000000002846,0.1086,9.717964075737852,5.033602582998937,40.0,1.414571895927656,0.6665744172451953
s10,run,3,32343.0986,5690.872732698386,31628.0,15920.0,63886.0,3.120834942018601,13.320562827534246,29782.75,33399.25,47966.0,3616.5,0.0528,65324.8474,233.22148993159527,65291.0,64852.0,65963.0,0.2531675014200112,-0.7233271955671046,65147.0,65525.0,1111.0,378.0,0.0072,68288.6106,600.9061901973747,68211.5,67040.0,69768.0,0.10300087376480725,-0.869521676140852,67821.25,68799.0,2728.0,977.75,0.0038,3350.875,100.50788895479016,3328.0,3178.0,3614.0,0.48362268415838,-0.6712249420534047,3269.0,3422.0,436.0,153.0,0.0078,90685.954,76.53176664798254,90690.0,90505.0,90881.0,-0.00837100371779758,-0.5602061498149027,90635.0,90738.0,376.0,103.0,0.0312,103058.5748,165.42295776569583,103033.0,102688.0,103513.0,0.30731353840903786,-0.5640875012662487,102931.0,103178.0,825.0,247.0,0.0104,5828.792,68.92801571400452,5811.0,5699.0,5983.0,0.48725329408448403,-1.0323611316811643,5772.0,5895.0,284.0,123.0,0.0216,33.264826,0.0984078581481637,33.31,33.06,33.5,0.04575893684069879,-0.23462384805073455,33.19,33.31,0.4399999999999977,0.12000000000000455,0.0088,35.284842,0.1312020496469713,35.31,34.94,35.56,-0.06518878915653505,-0.38149208698060244,35.19,35.38,0.6200000000000045,0.19000000000000483,0.0108,32.7254375438,0.01569729081247582,32.72612,32.6782,32.768055,0.0067866272190351875,-0.6833720153095713,32.714142,32.738102,0.08985500000000002,0.02395999999999532,0.0762,9.789628889601547,5.162377105689144,63.0,1.5308093741069042,0.718226011987575
s10,run,4,32561.0594,5646.495996428155,31712.0,18685.0,63955.0,3.181252703047792,13.522293464449124,30220.0,33499.5,45270.0,3279.5,0.0562,65330.1944,154.69556280666365,65324.5,65006.0,65767.0,0.15216097174972887,-0.6233484554609907,65212.0,65451.0,761.0,239.0,0.0136,68068.0686,320.12704440417366,68081.0,67373.0,68901.0,0.004101917454556931,-0.5316928990328198,67837.0,68304.25,1528.0,467.25,0.0078,3372.9484,51.14170932151628,3375.0,3225.0,3493.0,-0.32176768086299895,-0.11799829855678556,3340.0,3409.0,268.0,69.0,0.0372,90742.6482,83.28254098601109,90738.0,90500.0,90944.0,-0.00843644411298057,-0.5046508001704519,90682.0,90808.0,444.0,126.0,0.0248,103121.0804,157.78941737609395,103121.0,102746.0,103538.0,0.022672863639735422,-0.5388328788166263,103005.0,103236.0,792.0,231.0,0.0184,5854.578,69.74815608355112,5851.0,5675.0,6014.0,-0.13190275209690575,-0.3263092031576442,5817.0,5900.0,339.0,83.0,0.022,33.140358,0.1024969900172316,33.13,32.94,33.44,0.31832498773114165,-0.10417486799525966,33.06,33.19,0.5,0.12999999999999545,0.0066,35.265618,0.12361211132738302,35.25,35.0,35.56,-0.05128373188785567,-0.5681099728668446,35.19,35.38,0.5600000000000023,0.19000000000000483,0.0094,32.684050677200005,0.015041122221833955,32.684189,32.63327,32.732113,-0.1542422565635492,-0.4412449619054737,32.672207,32.696167,0.09884299999999513,0.023960000000002424,0.0942,9.69631655981628,4.641337331691876,44.0,1.2342464605024714,0.6111016789736503
s10,run,5,32537.1844,5884.0052563851505,31960.0,16290.0,64088.0,2.551298892701321,10.517946082722261,29708.25,34238.5,47798.0,4530.25,0.042,65123.204,269.9290846243606,65150.0,64393.0,65721.0,-0.4150358138551657,-0.2627685398406667,64940.75,65312.0,1328.0,371.25,0.0106,68095.6116,695.3228656695712,68217.0,66276.0,69510.0,-0.4972593021620886,-0.3944220857486722,67603.0,68611.25,3234.0,1008.25,0.0054,3386.9484,45.01367107398275,3386.0,3284.0,3508.0,0.17358554411579666,-0.7108337180207345,3351.0,3420.0,224.0,69.0,0.0384,90809.491,120.26750838740588,90830.0,90520.0,91045.0,-0.22862955222067027,-0.7940195758029089,90710.0,90902.0,525.0,192.0,0.0106,103446.3184,364.2553535831186,103459.0,102721.0,104274.0,0.19446056718112176,-0.7482011548579628,103125.0,103714.0,1553.0,589.0,0.005,5920.8976,140.9003225490236,5907.0,5629.0,6178.0,-0.02805802845571104,-0.9709984458172949,5831.0,6058.0,549.0,227.0,0.0156,33.095,0.10001720196115099,33.06,32.88,33.31,0.3422261750734327,-0.08857567135234312,33.0,33.13,0.4299999999999997,0.13000000000000256,0.007,35.25354399999999,0.1378126210755224,35.25,34.88,35.5,-0.340023214773349,-0.3660027616907975,35.19,35.38,0.6199999999999974,0.19000000000000483,0.0092,32.640354157,0.014555826791146457,32.639259,32.597328,32.690178,0.09521439902163505,-0.2775296224570387,32.630276,32.651241,0.09285000000000565,0.020964999999996792,0.1066,9.664134162331134,4.44777001183498,21.0,1.0974371421326874,0.5564315865711925
s10,run,6,32505.0346,5561.287356684203,31678.5,18939.0,64009.0,3.2171692881344205,14.038978036339309,30244.0,33492.25,45070.0,3248.25,0.0484,64942.5132,314.7361955675261,65007.0,64304.0,65485.0,-0.2881887318177269,-1.2038819727960703,64669.75,65217.0,1181.0,547.25,0.0034,67668.8398,999.1185231495912,67734.0,65952.0,69299.0,-0.07191917999322056,-1.5030348302603547,66743.0,68661.0,3347.0,1918.0,0.0006,3356.3614,44.691259232319176,3359.0,3242.0,3465.0,-0.18229682574536643,-0.5659168254976317,3327.0,3390.0,223.0,63.0,0.041,90781.5046,130.27246739811292,90743.0,90521.0,91012.0,0.09436674837101744,-1.2427428444560722,90683.0,90920.0,491.0,237.0,0.0058,103070.8776,377.14938810825356,102912.0,102475.0,103728.0,0.3515646995314575,-1.4996092391721265,102751.0,103482.0,1253.0,731.0,0.0038,5760.3106,103.34418867022171,5729.0,5595.0,5992.0,0.40650621938614123,-1.1869751501172023,5670.0,5854.0,397.0,184.0,0.0066,33.045554,0.10559850042807722,33.0,32.81,33.38,0.571258255364944,0.368316199992186,33.0,33.13,0.5700000000000003,0.13000000000000256,0.0064,35.245605999999995,0.13538485356831884,35.25,34.94,35.5,-0.2376548529382933,-0.7977408919815483,35.13,35.38,0.5600000000000023,0.25,0.01,32.612898083400005,0.011574504676924707,32.612305,32.573368,32.651241,-0.11405968992734737,-0.18242227618691276,32.606316,32.621292,0.07787299999999675,0.014975999999997214,0.1402,9.489436665677472,4.565854818509565,164.0,0.937064956181158,0.5536378438833985
s10,run,7,32631.5494,5611.8666654023145,31778.0,18587.0,64056.0,3.358253129906666,14.646032565430907,30363.0,33470.25,45469.0,3107.25,0.0492,65219.6578,165.24114023464375,65233.0,64778.0,65598.0,-0.2727226009986816,-0.5282911247756834,65112.75,65351.0,820.0,238.25,0.0146,68317.1998,350.0205456204411,68348.0,67391.0,69060.0,-0.24747568105864226,-0.5339446025376704,68087.0,68568.0,1669.0,481.0,0.009,3396.5816,58.17580447475786,3402.0,3236.0,3548.0,-0.396716350021357,-0.30962444786197807,3359.0,3440.0,312.0,81.0,0.0296,90688.5056,78.234489170053,90694.0,90407.0,90912.0,-0.4367064650846657,0.6918119856761424,90647.0,90740.0,505.0,93.0,0.036,103006.5308,225.95252235775544,103060.5,102297.0,103473.0,-0.6455179343257176,-0.07111653951643859,102838.0,103156.0,1176.0,318.0,0.0144,5896.574,76.20664022513314,5898.0,5707.0,6097.0,-0.12287662443030466,-0.7248739904109169,5840.0,5961.0,390.0,121.0,0.013,33.018097999999995,0.0769211659373016,33.0,32.81,33.19,-0.026578854166726756,-0.017544845428246525,33.0,33.06,0.37999999999999545,0.060000000000002274,0.0072,35.19566,0.12333680226663338,35.19,34.94,35.5,0.15800070290699467,-0.5289373489167732,35.13,35.25,0.5600000000000023,0.11999999999999744,0.0108,32.572859822000005,0.018646407458481968,32.573368,32.516457,32.624283,-0.07011791809635604,-0.5669116187221741,32.558392,32.58535,0.10782599999999576,0.02695800000000048,0.0774,9.79124933239932,5.6072305178423365,96.0,1.4083938878888338,0.6739144170660882
s10,run,8,32993.9174,6062.381975034193,32296.0,16913.0,64032.0,2.5340245898497,10.121509187865843,30154.0,34812.0,47119.0,4658.0,0.0408,65115.539,150.33963176746175,65129.0,64761.0,65568.0,-0.11331849293809616,-0.29097088260086723,65021.0,65215.0,807.0,194.0,0.0106,68354.6744,365.6307842054766,68358.0,67379.0,69224.0,-0.05240438009991946,-0.5617342460433954,68087.75,68615.0,1845.0,527.25,0.0074,3392.0994,53.998628593863415,3397.0,3260.0,3531.0,-0.07361453142238981,-0.6817271139270153,3350.0,3430.0,271.0,80.0,0.034,90637.6106,60.085317813284014,90641.0,90503.0,90802.0,0.06705188635280525,-0.7315126557133347,90589.0,90681.0,299.0,92.0,0.034,103063.3398,110.02916531267462,103063.0,102778.0,103417.0,0.36567806420448334,0.8186807997053092,102992.0,103131.0,639.0,139.0,0.0292,5804.2668,74.93586253896656,5813.0,5635.0,5970.0,-0.08086076990784745,-0.8224838317773404,5741.75,5858.0,335.0,116.25,0.0158,32.984233999999994,0.09944058995292629,33.0,32.81,33.25,0.11230258961602388,-0.6648924454612226,32.88,33.06,0.4399999999999977,0.17999999999999972,0.0076,35.152423999999996,0.11668764898430806,35.19,34.94,35.44,0.19693035208475124,-0.4102555980071423,35.06,35.25,0.5,0.18999999999999773,0.0106,32.5133669612,0.018131228798480534,32.513462,32.465542,32.564381,0.13265225591412816,-0.5762838454944688,32.501484,32.525444,0.09883899999999812,0.023960000000002424,0.0822,9.581696538039125,5.028536532300613,96.0,1.2282855905596153,0.6316728988645915
s10,run,9,32251.5768,5716.865814994357,31528.5,18151.0,64026.0,3.191681352468804,13.698499961012033,29946.5,33256.75,45875.0,3310.25,0.053,64888.9292,340.5658879162187,64914.0,64118.0,65576.0,-0.25135577255808467,-1.001854879266086,64621.0,65190.0,1458.0,569.0,0.003,67870.0832,799.0145810546311,68051.5,66017.0,69356.0,-0.41742168256752155,-0.9530948426714301,67207.75,68543.0,3339.0,1335.25,0.003,3375.874,62.83394102576223,3380.0,3216.0,3542.0,-0.07537055663735329,-0.5009377739395422,3328.0,3421.0,326.0,93.0,0.0218,90617.1688,77.73744354290098,90611.0,90441.0,90804.0,0.18774704310174556,-0.6700046837090876,90557.0,90671.0,363.0,114.0,0.0186,103010.6202,183.79366140853386,103011.5,102556.0,103425.0,-0.06698828767025247,-0.4597110808460436,102887.0,103146.0,869.0,259.0,0.0108,5777.5216,75.7336586390105,5764.0,5641.0,5958.0,0.45685887452870705,-0.8739149011506315,5717.0,5837.0,317.0,120.0,0.0162,32.91104,0.11851281558334274,32.94,32.63,33.13,-0.46688912652353826,0.1670902364272533,32.88,33.0,0.5,0.11999999999999744,0.0058,35.124506000000004,0.12466444645062905,35.13,34.81,35.38,-0.07763601712999978,-0.5832432860004682,35.06,35.25,0.5700000000000003,0.18999999999999773,0.0114,32.4658896546,0.0167524662614812,32.465542,32.417618,32.510468,0.0662948819909891,-0.6505767799498927,32.45356,32.47826875,0.09285000000000565,0.02470874999999495,0.0814,9.691479067509125,5.002708795572072,58.0,1.2258730241122633,0.5945716191974567
