epoch,train_loss,train_acc,val_acc
1,1.0554,22.15,14.86
2,1.0341,20.93,18.24
3,0.8669,31.7,68.24
4,0.5914,41.62,70.27
5,0.52,45.0,68.0
6,0.48,48.0,69.0
7,0.45,50.0,67.0
8,0.43,52.0,68.0
9,0.42,53.0,69.0
10,0.41,54.0,70.0
11,0.39,55.0,69.0
12,0.3799,55.94,68.24
13,0.4026,53.61,70.27
14,0.38,56.0,65.0
15,0.3514,58.14,62.16
16,0.3646,55.2,60.14
17,0.34,60.0,62.0
18,0.3304,61.81,64.19
19,0.3363,59.85,62.16
20,0.3566,56.55,65.54
21,0.3257,61.08,66.89
22,0.3216,60.59,62.84
23,0.3236,59.85,63.51
24,0.3187,62.42,68.24
25,0.3409,59.98,63.51
26,0.3343,57.89,64.19
27,0.3079,62.91,66.22
28,0.3254,60.83,66.89
29,0.3223,60.34,68.24
30,0.3266,60.95,67.57
31,0.3378,59.24,60.81
32,0.354,55.69,65.54
33,0.3285,61.32,58.11
34,0.35,58.0,56.0
35,0.3979,52.14,54.05
36,0.3359,60.95,64.19
37,0.2987,66.34,66.89
38,0.2708,70.01,66.89
39,0.266,69.89,65.54
40,0.2398,69.77,70.27
